reset,resolution,x,y,z
806,14,29483,24060,40445
206,0,29227,24060,49662
a06,0,29227,24060,54014
006,1,32811,24060,61950
e06,11,30251,24060,60925
306,1,45099,24061,9982
d06,9,37931,24061,6909
206,7,40235,24061,11005
706,10,44587,24060,60669
807,10,56619,24061,6653
607,7,21547,24316,65533
405,4,35371,24316,36606
705,1,22571,24314,53761
906,5,11051,24315,56320
306,12,44587,24316,56832
a05,13,19755,24316,31488
205,8,27179,24316,4609
c05,12,4907,24315,57601
d06,7,40747,24316,24833
105,3,17195,24316,6145
605,2,35371,24316,35328
305,9,48171,24317,58367
e05,11,20523,24317,57086
506,11,28715,24319,15356
e06,8,41003,24317,47099
e05,3,23595,24316,37116
d05,3,14123,24316,49148
f05,11,25131,24316,20988
b05,8,8235,24316,47869
b05,8,25131,24316,62462
205,4,15403,24317,33023
a05,5,15659,24574,2815
105,8,4907,24573,60670
705,14,20011,24574,16893
205,14,35883,24573,51708
904,15,33579,24573,9468
804,0,46379,24572,50429
b05,15,55083,24572,39677
c05,7,20523,24572,63486
906,2,21803,24571,59134
207,0,20267,24571,38398
406,0,22059,24572,1022
d06,3,57387,24572,5118
406,3,44331,24572,1278
c06,6,58155,24571,49662
d06,10,26155,24572,510
106,13,55083,24571,52990
e06,15,20267,24571,58110
a06,15,19499,24571,45822
406,5,17963,24572,4351
f06,2,10283,24572,2815
906,9,43819,24571,63231
d07,3,60715,24827,56319
c06,14,10283,24827,61693
706,12,57131,24827,47101
805,15,12075,24827,19709
205,5,46635,24827,28414
905,5,38699,24827,23550
605,5,28459,24827,55038
406,4,61995,24827,56574
006,8,5931,24828,3070
d06,9,11563,24827,55550
e06,7,2859,24827,55294
b06,12,6443,24827,57854
406,8,12075,24827,50174
106,9,26667,24827,55038
306,8,32811,24827,62462
c06,4,25131,24827,57854
106,3,22827,24827,47102
306,14,24875,24827,49917
b06,3,32555,24827,47102
405,1,14123,24827,34302
506,0,64043,25083,43774
706,1,12331,25083,38654
d06,2,32299,25083,43774
c06,1,27435,25083,46078
d06,1,22571,25083,60926
a06,5,44075,25083,50430
006,15,11051,25083,44541
707,13,47147,25083,65533
b06,14,43,25083,56317
306,11,56619,25083,55037
606,0,40747,25084,8446
806,11,39723,25084,23037
306,13,21035,25084,35069
006,1,29739,25084,11774
b05,3,14123,25083,53502
a05,5,39211,25083,56318
